case_id,harness,session_model,session_effort,condition,run_n,dispatched,dispatch_models,dispatch_efforts,main_in_tokens,main_out_tokens,main_cached_tokens,est_cost_usd,wall_seconds,passed_acceptance,followups_needed,worker_followups,notes,status,behavior_pass,dispatch_model_confirmed,evidence
E01,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,baseline,1,0,,,,,,,,true,0,0,"Returns def add(a,b): return a+b, with no tools or workers.",PASS,true,not applicable,evidence/codex/E01-baseline-1.md
E01,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,baseline,2,0,,,,,,,,true,0,0,"Returns def add(a,b): return a+b, with no tools or workers.",PASS,true,not applicable,evidence/codex/E01-baseline-2.md
E01,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,skill,1,0,,,,,,,,true,0,0,"Correct add(a,b) function. Only two reads to load candidate/provider guidance; no worker dispatch.",PASS,true,not applicable,evidence/codex/E01-skill-1.md
E01,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,skill,2,0,,,,,,,,true,0,0,"Correct add(a,b) function. Only two reads to load candidate/provider guidance; no worker dispatch.",PASS,true,not applicable,evidence/codex/E01-skill-2.md
E02,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,baseline,1,0,,,,,,,,true,0,0,"Ran python -B -m unittest discover -s tests -v, exit0; correctly reports7 passed0failed. Raw suite output stays in baseline owner context, expected for no routing skill.",PASS,true,not applicable,evidence/codex/E02-baseline-1.md
E02,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,baseline,2,0,,,,,,,,true,0,0,"Runs python -B -m unittest discover -s tests -v; exit0,7 passed0failed. No edits.",PASS,true,not applicable,evidence/codex/E02-baseline-2.md
E02,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,skill,1,1,gpt-5.6-luna,low,,,,,,,0,1,"Correct7passed0failed after worker first discovered0tests and owner requested explicit module run. Worker py -3 -m unittest -v tests.test_pipeline exited0. Model/effort override requested but harness exposes only dispatch ID/status, so actual tier remains unverified. Main receives compact summary, no full unittest log.",PARTIAL,true,not exposed,evidence/codex/E02-skill-1.md
E02,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,skill,2,1,gpt-5.6-luna,low,,,,,,,0,1,"Correct7passed0failed after initial discovery0tests; owner inspected7 methods and followed up for explicit py -3 -m unittest -v tests.test_pipeline. Requested low/luna; harness confirms dispatch completion but exposes no actual model/effort. Compact output returned, no full suite logs in owner final.",PARTIAL,true,not exposed,evidence/codex/E02-skill-2.md
E05,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,baseline,1,0,,,,,,,,true,0,0,"Answers No, cites payment.py:10 PaymentError; retry.py:16 catches TransientError only; errors.py:13 sibling inheritance. No silent miss.",PASS,true,not applicable,evidence/codex/E05-baseline-1.md
E05,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,baseline,2,0,,,,,,,,true,0,0,Answers No with exact pipeline/payment/retry/error citations and explains the sibling error types. No silent miss.,PASS,true,not applicable,evidence/codex/E05-baseline-2.md
E05,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,skill,1,1,gpt-5.6-terra,medium,,,,,,,0,0,"Correct No response and exact four-file explanation; owner verified sources. No silent miss. Middle-tier worker requested; backend model/effort not exposed, so routing execution unverified.",PARTIAL,true,not exposed,evidence/codex/E05-skill-1.md
E05,codex-in-app,inherited; runtime ID not exposed,inherited; not exposed,skill,2,1,gpt-5.6-terra,medium,,,,,,,0,0,"Correct No response, source code confirms PaymentError sibling of caught TransientError. No silent miss. Owner verifies source; requested middle-tier worker confirmed as task only, resolved model/effort unavailable.",PARTIAL,true,not exposed,evidence/codex/E05-skill-2.md
